time_s,desired_force_n,contact_force_n,uav_x_m,uav_y_m,uav_z_m,target_x_m,target_v_mps,target_a_mps2,roll_rad,pitch_rad,yaw_rad,omega1,omega2,omega3,omega4
0.682,0,0.177791460861684,-0.298884223157866,2.84786518899092e-10,0.999924582726825,0.000113828196235902,-0.00309209825533167,-0.0296044931611001,-5.72740509253996e-08,0.0117963899561983,-2.46647205165805e-06,440.615171897529,440.003070462487,439.396310625974,440.00304600901
0.683,0,0.173121492208346,-0.298899129772745,3.02707867563882e-10,0.99992387741235,0.000110721644376931,-0.00312065735483272,-0.027515197635759,-5.70981091717268e-08,0.0116660869722028,-2.46871051090417e-06,440.535661149853,440.00369241723,439.47721048323,440.00366828101
0.684,0,0.168401253610305,-0.298914037365321,3.2090680345435e-10,0.999923174079601,0.000107587576288882,-0.00314713275497727,-0.02543818430459,-5.69198458727815e-08,0.011536142104326,-2.47092577436206e-06,440.456317027616,440.004301897316,439.557891830213,440.004278080965
0.685,0,0.163627548017755,-0.298928944062859,3.39384474571369e-10,0.999922472769874,0.00010442806845785,-0.00317153993440307,-0.0233797694805663,-5.67392779143103e-08,0.0114065627567874,-2.47311803076447e-06,440.377133508737,440.00489890876,439.638360763893,440.004875414899
0.686,0,0.158797637785043,-0.298943847953436,3.58142005659218e-10,0.999921773523734,0.000101245178811344,-0.00319390045211509,-0.0213457918121115,-5.65564219068762e-08,0.0112773561440448,-2.47528745741843e-06,440.298103380486,440.005483462413,439.718624565802,440.005460293678
0.687,0,0.153909275984861,-0.298958747084045,3.77180498061952e-10,0.99992107638101,9.80409408822924e-05,-0.0032142414534238,-0.0193415804292474,-5.63712941808769e-08,0.0111485292850132,-2.47743422085547e-06,440.219218462032,440.006055573486,439.798691479039,440.00603273253
0.688,0,0.148960732325297,-0.298973639459032,3.96501029583741e-10,0.999920381380794,9.48173584820954e-05,-0.00323259514688059,-0.0173719288106216,-5.61839107854447e-08,0.0110200889989585,-2.47955847751029e-06,440.140469833798,440.006615261096,439.878570478953,440.006592750594
0.689,0,0.143950813577058,-0.29898852303887,4.16104654353172e-10,0.999919688561445,9.15764009088432e-05,-0.00324899825796953,-0.0154410744389687,-5.59942874911263e-08,0.0108920419030781,-2.48166037441654e-06,440.061848071177,440.007162547839,439.958271039939,440.007140370491
0.69,0,0.1388788784488,-0.299003395739306,4.35992402691471e-10,0.999918997960584,8.83199987110439e-05,-0.00326349146536537,-0.0135526842759271,-5.58024397962335e-08,0.0107643944117611,-2.483740049909e-06,439.983343480168,440.007697459393,440.037802900791,440.007675617925
0.691,0,0.133744846905209,-0.299018255430867,4.5616528098464e-10,0.999918309615099,8.50500400213884e-05,-0.00327611882556621,-0.0117098460292094,-5.56083829367489e-08,0.0106371527375048,-2.4857976343216e-06,439.904946332554,440.008220024156,440.117175830954,440.008198521321
0.692,0,0.128549203987518,-0.299033099938749,4.76624271559478e-10,0.999917623561139,8.17683674692938e-05,-0.00328692719165385,-0.0099150651209014,-5.54121318995971e-08,0.010510322893449,-2.48783325067121e-06,439.826647098315,440.00873027291,440.196399399983,440.008709111488
0.693,0,0.123292998230762,-0.299047927043075,4.97370332563461e-10,0.999916939834121,7.84767756752665e-05,-0.00329596563182143,-0.00817026722747224,-5.52137014391121e-08,0.0103839106974733,-2.4898470153175e-06,439.748436673029,440.009228238531,440.275482752415,440.009207421325
0.694,0,0.117977834829151,-0.299062734479543,5.18404397848473e-10,0.999916258468725,7.51770093245612e-05,-0.00330328485315148,-0.00647680620588796,-5.5013106096499e-08,0.0102579217777904,-2.49183903858994e-06,439.670306598165,440.009713955722,440.354434390126,440.009693485558
0.695,0,0.11260586374915,-0.299077519940435,5.39727376858339e-10,0.999915579498899,7.1870761812229e-05,-0.00330893663591733,-0.00483547717228796,-5.4810360222035e-08,0.010132361579953,-2.49380942537333e-06,439.592249272249,440.010187460795,440.433261964161,440.010167340516
0.696,0,0.107179763021723,-0.299092281076,5.61340154520173e-10,0.999914902957861,6.85596744464986e-05,-0.0033129732834293,-0.00324653446618558,-5.46054779997854e-08,0.0100072353751827,-2.49575827564418e-06,439.514258151057,440.010648791482,440.511972077828,440.010629023946
