time_s,displacement_m,velocity_m_per_s,acceleration_m_per_s2,elastic_force_n,damping_force_n,raw_force_n,force_n,analytical_force_n,contact_active
0.106,0.00013734231205048798,0.0025673725812760243,0.023318496715254114,0.06867115602524398,0.051347451625520485,0.12001860765076447,0.12001860765076447,0.12001860765076447,1.0
0.107,0.0001399213396473756,0.0025906783701684644,0.02329304273313334,0.0699606698236878,0.05181356740336929,0.12177423722705709,0.12177423722705709,0.12177423722705709,1.0
0.108,0.0001425236602678387,0.0026139585901112897,0.02326735885808457,0.07126183013391935,0.05227917180222579,0.12354100193614515,0.12354100193614515,0.12354100193614515,1.0
0.109,0.00014514924822802338,0.002637213011338129,0.023241445343597286,0.0725746241140117,0.05274426022676258,0.12531888434077426,0.12531888434077426,0.12531888434077426,1.0
0.11,0.00014779807761443637,0.0026604414043372316,0.02321530244542741,0.07389903880721818,0.05320882808674463,0.1271078668939628,0.1271078668939628,0.1271078668939628,1.0
0.111,0.00015047012228420087,0.0026836435398537375,0.023188930421594794,0.07523506114210043,0.05367287079707475,0.12890793193917519,0.12890793193917519,0.12890793193917519,1.0
0.112,0.00015316535586531484,0.002706819188891936,0.02316232953238067,0.07658267793265743,0.05413638377783872,0.13071906171049613,0.13071906171049613,0.13071906171049613,1.0
0.113,0.0001558837517569109,0.002729968122717527,0.02313550004032507,0.07794187587845545,0.054599362454350535,0.13254123833280598,0.13254123833280598,0.13254123833280598,1.0
0.114,0.00015862528312951928,0.002753090112859879,0.023108442210224248,0.07931264156475964,0.05506180225719758,0.13437444382195723,0.13437444382195723,0.13437444382195723,1.0
0.115,0.00016138992292533155,0.002776184931114285,0.023081156309128072,0.08069496146266578,0.055523698622285705,0.13621866008495148,0.13621866008495148,0.13621866008495148,1.0
0.116,0.00016417764385846995,0.0027992523495442125,0.02305364260633736,0.08208882192923497,0.055985046990884246,0.13807386892011922,0.13807386892011922,0.13807386892011922,1.0
0.117,0.00016698841841525342,0.002822292140483553,0.02302590137340126,0.08349420920762671,0.056445842809671055,0.13994005201729776,0.13994005201729776,0.13994005201729776,1.0
0.11800000000000001,0.00016982221885447263,0.002845304076538873,0.022997932884114534,0.08491110942723631,0.056906081530777454,0.14181719095801376,0.14181719095801376,0.14181719095801376,1.0
0.11900000000000001,0.0001726790172076606,0.002868287930591653,0.022969737414514885,0.0863395086038303,0.05736575861183306,0.14370526721566335,0.14370526721566335,0.14370526721566335,1.0
0.12,0.00017555878527937137,0.0028912434758005326,0.022941315242880213,0.08777939263968569,0.05782486951601065,0.14560426215569633,0.14560426215569633,0.14560426215569633,1.0
0.121,0.00017846149464745663,0.002914170485603549,0.022912666649725875,0.08923074732372832,0.05828340971207098,0.1475141570357993,0.1475141570357993,0.1475141570357993,1.0
0.122,0.00018138711666334658,0.0029370687337203698,0.022883791917801922,0.0906935583316733,0.0587413746744074,0.14943493300608068,0.14943493300608068,0.14943493300608068,1.0
0.123,0.00018433562245233348,0.002959937994154532,0.0228546913320903,0.09216781122616674,0.05919875988309064,0.1513665711092574,0.1513665711092574,0.1513665711092574,1.0
0.124,0.0001873069829138549,0.0029827780411956664,0.022825365179802045,0.09365349145692745,0.05965556082391333,0.15330905228084077,0.15330905228084077,0.15330905228084077,1.0
0.125,0.00019030116872178316,0.0030055886494217317,0.022795813750374438,0.09515058436089158,0.060111772988434634,0.1552623573493262,0.1552623573493262,0.1552623573493262,1.0
0.126,0.00019331815032471307,0.0030283695937012313,0.022766037335468156,0.09665907516235653,0.06056739187402463,0.15722646703638116,0.15722646703638116,0.15722646703638116,1.0
0.127,0.00019635789794625382,0.0030511206491954435,0.022736036228964394,0.09817894897312691,0.06102241298390887,0.15920136195703577,0.15920136195703577,0.15920136195703577,1.0
0.128,0.00019942038158532406,0.003073841591360636,0.022705810726961963,0.09971019079266202,0.061476831827212725,0.16118702261987475,0.16118702261987475,0.16118702261987475,1.0
0.129,0.00020250557101644668,0.003096532195950281,0.022675361127774362,0.10125278550822334,0.06193064391900562,0.16318342942722897,0.16318342942722897,0.16318342942722897,1.0
