target_id,population_stratum,stiffness_n_per_m,damping_n_s_per_m,effective_mass_kg,actual_risk_class,actual_severity_ratio
broad_s10112_c08,broad,286.2939598335351,58.808730541613016,2.0448143878586493,SAFE,0.5821522265721322
broad_s10112_c09,broad,1037.9302808648026,12.798184239223879,2.694875888879425,SAFE,0.16680527118746308
broad_s10112_c10,broad,2114.1171393973445,3.1371682202097495,3.499098608689328,SAFE,0.08372943679029994
broad_s10112_c11,broad,400.0725989652585,0.6061984374563992,0.4840562567998725,SAFE,0.4281071355485727
broad_s10113_c00,broad,224.8229060431583,29.807949660998577,0.14489847173852333,SAFE,0.7413242253552637
broad_s10113_c01,broad,84.84482087903606,6.8961822760256855,2.8532982096524266,UNSAFE,2.768279276591252
broad_s10113_c02,broad,1325.9384540173048,1.1475066856086544,0.12305759776520134,SAFE,0.1259283131068507
broad_s10113_c03,broad,149.1751161246449,2.415830528587341,5.107503866750605,UNSAFE,2.8688817732541363
broad_s10113_c04,broad,2383.4393059274553,48.10238901680752,0.27422619934839537,SAFE,0.06992713543130677
broad_s10113_c05,broad,259.40156801181365,0.32066983526183424,1.3162489899612737,UNSAFE,1.5
broad_s10113_c06,broad,496.61361950175484,23.158889833527255,1.6524313576710514,SAFE,0.3516696532098298
broad_s10113_c07,broad,102.28574858205455,5.667562322131614,3.664480205701429,UNSAFE,2.4941375431895985
broad_s10113_c08,broad,620.8338380496888,0.6902068819102885,0.9146006951352786,SAFE,0.28324499053406554
broad_s10113_c09,broad,917.9002623936342,2.7881170033555334,0.38924322446297854,SAFE,0.18325255866901716
broad_s10113_c10,broad,1470.1383645916355,0.8107276964676108,0.5116433337139675,SAFE,0.11427977684796276
broad_s10113_c11,broad,392.7307426918855,10.747529419611851,0.6109371426737875,SAFE,0.4347930770876422
broad_s10114_c00,broad,415.8153599783043,2.295050311906873,5.314317933993457,UNSAFE,1.5
broad_s10114_c01,broad,779.7487740628836,52.339539979485984,2.2031501356870726,SAFE,0.2173933461956238
broad_s10114_c02,broad,201.08062057921106,32.94653974255924,1.6342713086691099,SAFE,0.8293461353810723
broad_s10114_c03,broad,1901.8373141959312,13.638519475410552,0.20974102464702526,SAFE,0.08778254139279792
broad_s10114_c04,broad,109.4332152930276,17.343645762666604,0.17741297737326478,CAUTION,1.5229989008115752
broad_s10114_c05,broad,568.9311702291982,3.7782163583303285,1.5068799864447264,SAFE,0.3013487145088704
broad_s10114_c06,broad,294.078682325032,10.100657492895882,0.3232716343879774,SAFE,0.5730757451599667
broad_s10114_c07,broad,1389.2250435512597,1.5139491789747859,0.44906063115477984,SAFE,0.12047672815330299
broad_s10114_c08,broad,93.94883457941438,4.919917416795841,0.6598375877849436,UNSAFE,2.032315577603305
broad_s10114_c09,broad,147.77658823903852,1.086534888473145,3.4014522701577294,UNSAFE,3.1870122350540195
broad_s10114_c10,broad,1721.170785368061,0.3994453644842395,0.7768932413210686,SAFE,0.09798112854812996
broad_s10114_c11,broad,753.8832762125841,0.585645554420564,0.11220805703196236,SAFE,0.22155206798467048
broad_s10115_c00,broad,87.44681411052868,0.6336956904296864,0.2032474184567825,UNSAFE,1.9799567963002944
broad_s10115_c01,broad,232.2978630862583,9.059700099127136,1.070187222224518,SAFE,0.7865113781828316
broad_s10115_c02,broad,1930.059224629826,51.01411747993869,0.6133873636055657,SAFE,0.08643732498839621
broad_s10115_c03,broad,277.855222225667,27.23104466473326,4.507116785720781,SAFE,0.7115437650230587
broad_s10115_c04,broad,499.116512803861,3.3362440641151814,2.2741866047902786,SAFE,0.75
broad_s10115_c05,broad,1665.4038348087897,1.9522909075166326,1.9538169562134857,SAFE,0.10240289216187404
broad_s10115_c06,broad,757.9640612411432,4.647664172496152,0.1480726472141574,SAFE,0.22065782826407285
broad_s10115_c07,broad,1071.5213169953377,1.4735347808125092,0.10151186062848717,SAFE,0.15583387114612077
broad_s10115_c08,broad,164.09502990441558,0.8458373355279148,0.504621672132896,CAUTION,1.0499711393514413
broad_s10115_c09,broad,129.8545789392479,0.3616738804667021,3.607566677366314,UNSAFE,5.049391363340011
broad_s10115_c10,broad,987.9096552635189,10.792049759616203,0.2791331625129734,SAFE,0.169459804400533
broad_s10115_c11,broad,339.1926187532679,18.173558705702174,1.4534574426978866,SAFE,0.5225661523166761
broad_s10116_c00,broad,616.371388388651,0.6012093941989628,3.4634150067884586,UNSAFE,1.5
broad_s10116_c01,broad,262.9215663272895,4.146556684017462,1.808655732445685,SAFE,0.8091522099169294
broad_s10116_c02,broad,83.3332074656733,5.597840576079668,0.5522089441197646,UNSAFE,2.195741007256425
