observation_duration_s,noise_regime,feature_set,outcome,trial_count,median_absolute_error,p95_absolute_error,median_abs_relative_error,p95_abs_relative_error,upper_bound_coverage
1.0,low,physical_chirp_ringdown,hold_settling_time_s,240,0.08162717166820702,0.9898946863790175,0.3145336746887863,265443612.9336809,0.9666666666666667
1.0,nominal,chirp_only,peak_displacement_m,240,0.0002019722636251815,0.002929618191664315,0.04816535533467865,0.16618433967590296,0.9625
1.0,nominal,chirp_only,peak_velocity_m_per_s,240,0.00041663747718044064,0.007083586648864829,0.038978467878216655,0.15778580833714376,0.9666666666666667
1.0,nominal,chirp_only,late_hold_oscillation_rms_m,240,3.185148817448692e-07,0.0020591496965017653,0.9141261800079903,18.420168649648073,0.9041666666666667
1.0,nominal,chirp_only,hold_settling_time_s,240,0.0792782678771082,0.9394175435350767,0.294348732367561,286312641.96321917,0.9708333333333333
1.0,nominal,ringdown_only,peak_displacement_m,240,0.0018472709052023031,0.010794221229460438,0.33185365157815216,1.5040349045872545,0.9666666666666667
1.0,nominal,ringdown_only,peak_velocity_m_per_s,240,0.005873569430721899,0.034928023689272676,0.33450023820162433,1.2936593297269663,0.9666666666666667
1.0,nominal,ringdown_only,late_hold_oscillation_rms_m,240,2.1488110965221415e-07,0.0017333388501065937,0.9483822893234035,19.08517397017864,0.9541666666666667
1.0,nominal,ringdown_only,hold_settling_time_s,240,0.12860165151354463,1.490225689199176,0.57949047848712,906403908.8776708,0.9583333333333334
1.0,nominal,chirp_ringdown,peak_displacement_m,240,0.00014680696514706815,0.002997566674207555,0.04202416861318049,0.2020755403176577,0.95
1.0,nominal,chirp_ringdown,peak_velocity_m_per_s,240,0.00047410982289088945,0.006613915861232012,0.03522327344278946,0.12882852128126662,0.9583333333333334
1.0,nominal,chirp_ringdown,late_hold_oscillation_rms_m,240,2.0272272331476534e-07,0.0016012233336743073,0.8277606474596648,7.9896878463643795,0.925
1.0,nominal,chirp_ringdown,hold_settling_time_s,240,0.061025864106495964,1.0482214570890078,0.26179851739549437,239659053.86296093,0.9666666666666667
1.0,nominal,physical_chirp_ringdown,peak_displacement_m,240,0.00014391849868146097,0.003041818432800386,0.03981458960291543,0.18285006255359657,0.9583333333333334
1.0,nominal,physical_chirp_ringdown,peak_velocity_m_per_s,240,0.00048264466322802974,0.0066191458628706715,0.03568181280098419,0.12847459291446603,0.9583333333333334
1.0,nominal,physical_chirp_ringdown,late_hold_oscillation_rms_m,240,1.6810513399314556e-07,0.0015158769638288268,0.7808146767061293,8.024296441756297,0.9291666666666667
1.0,nominal,physical_chirp_ringdown,hold_settling_time_s,240,0.06545089907360549,1.0455420367848598,0.29496730794704995,241242727.55167866,0.9666666666666667
1.0,high,chirp_only,peak_displacement_m,240,0.00023369859476135135,0.0031706878033020895,0.04714226023576421,0.19153614967935295,0.9541666666666667
1.0,high,chirp_only,peak_velocity_m_per_s,240,0.0005547486604665103,0.008589365376463211,0.04461476785177008,0.16261033297136188,0.9458333333333333
1.0,high,chirp_only,late_hold_oscillation_rms_m,240,3.126609395689295e-07,0.003060572979071509,0.9136321953755107,18.566535640573097,0.9083333333333333
1.0,high,chirp_only,hold_settling_time_s,240,0.057146821356759414,0.9916315697756566,0.2628287579115389,248946557.38745594,0.9666666666666667
1.0,high,ringdown_only,peak_displacement_m,240,0.001708563474128053,0.010745047990737194,0.3362633651415338,1.7239782048787806,0.95
1.0,high,ringdown_only,peak_velocity_m_per_s,240,0.005752242838102093,0.03565014762955116,0.35617171028568106,1.5984452760781473,0.9583333333333334
1.0,high,ringdown_only,late_hold_oscillation_rms_m,240,1.5804434825659344e-07,0.0017145176298235239,1.0047103693483683,19.748872210114715,0.9375
1.0,high,ringdown_only,hold_settling_time_s,240,0.14586631464598254,1.4392832127818274,1.7006202508128365,957256800.3264891,0.9416666666666667
1.0,high,chirp_ringdown,peak_displacement_m,240,0.00018701212282534047,0.003362494621855053,0.04998560347203831,0.21514165021164625,0.9416666666666667
1.0,high,chirp_ringdown,peak_velocity_m_per_s,240,0.000593863219911327,0.007362817369315551,0.04567817629898507,0.15495747646490352,0.9541666666666667
