target_id,peak_displacement,peak_velocity,oscillation,settling_time,risk_class,severity
matlab_broad_s20114_c11,0.00163434036757762,0.00543312202390002,3.95824015633935e-08,0,SAFE,0.136195030631469
matlab_broad_s20115_c00,0.0046712765438833,0.0130475851278009,4.47239803938694e-15,0.084,SAFE,0.389273045323608
matlab_broad_s20115_c01,0.0242601347056076,0.106640200510529,0.000162475828999188,1.18,UNSAFE,2.02167789213397
matlab_broad_s20115_c02,0.0122581480477976,0.0429622484976338,2.94856166333443e-06,0.428,CAUTION,1.02151233731646
matlab_broad_s20115_c03,0.00454669291907397,0.0193751188443604,0.000253632432873555,3,UNSAFE,1.5
matlab_broad_s20115_c04,0.0013956152067679,0.00569633288720836,3.74020254163577e-07,0,SAFE,0.116301267230658
matlab_broad_s20115_c05,0.00224764797945001,0.00733265851332618,6.76619519195432e-09,0,SAFE,0.187303998287501
matlab_broad_s20115_c06,0.00266419770439266,0.00846889180552411,2.55013883943514e-15,0,SAFE,0.222016475366055
matlab_broad_s20115_c07,0.00080101163886258,0.00252718210594646,1.68853497539314e-16,0,SAFE,0.066750969905215
matlab_broad_s20115_c08,0.00806464774830394,0.0314921124431996,5.83593284712776e-07,0.05,SAFE,0.672053979025328
matlab_broad_s20115_c09,0.0279520837349627,0.0671886073029284,0.00364636480910178,3,UNSAFE,2.43090987273452
matlab_broad_s20115_c10,0.0135694374362717,0.0297409537033292,4.34265553008871e-08,0.376,CAUTION,1.13078645302265
matlab_broad_s20115_c11,0.00176664099770941,0.00658040644047752,6.24479047736728e-05,0,SAFE,0.147220083142451
matlab_broad_s20116_c00,0.00328827507876022,0.0105400479709713,9.07241224705627e-15,0,SAFE,0.274022923230018
matlab_broad_s20116_c01,0.00395260019303957,0.013456646534827,1.70240139865452e-08,0,SAFE,0.329383349419965
matlab_broad_s20116_c02,0.000991220748975371,0.00312141092016277,2.16840434497101e-19,0,SAFE,0.0826017290812809
matlab_broad_s20116_c03,0.00136821769725738,0.00431478214557968,1.00012943142061e-17,0,SAFE,0.114018141438115
matlab_broad_s20116_c04,0.0180086834150063,0.0394077689020665,6.00812934824269e-08,0.38,CAUTION,1.50072361791719
matlab_broad_s20116_c05,0.00569119254159787,0.0197807179510149,1.38987724703834e-05,0,SAFE,0.474266045133156
