time_s,contact_force_n,target_x_m,uav_x_m,pitch_rad
0.247,0.0,0.0,-0.2997268669071449,0.00892329382343036
0.248,0.0,0.0,-0.2997212353974313,0.009016264220323344
0.249,0.0,0.0,-0.29971551545644387,0.009109581380616577
0.25,0.0,0.0,-0.29970970616879866,0.009203240473094485
0.251,0.0,0.0,-0.2997038066157552,0.00929723661990198
0.252,0.0,0.0,-0.2996978158752644,0.009391564896792411
0.253,0.0,0.0,-0.29969173302201696,0.009486220333375863
0.254,0.0,0.0,-0.29968555712749206,0.00958119791336775
0.255,0.0,0.0,-0.2996792872600066,0.00967649257483778
0.256,0.0,0.0,-0.29967292248476485,0.009772099210459238
0.257,0.0,0.0,-0.2996664618639086,0.009868012667758623
0.258,0.0,0.0,-0.29965990445656776,0.009964227749365619
0.259,0.0,0.0,-0.29965324931891135,0.010060739213263444
0.26,0.0,0.0,-0.29964649550419886,0.010157541773039555
0.261,0.0,0.0,-0.29963964206283233,0.010254630098136729
0.262,0.0,0.0,-0.2996326880424085,0.010351998814104516
0.263,0.0,0.0,-0.29962563248777163,0.010449642502851096
0.264,0.0,0.0,-0.2996184744410667,0.01054755570289553
0.265,0.0,0.0,-0.29961121294179305,0.010645732909620424
0.266,0.0,0.0,-0.2996038470268583,0.010744168575525003
0.267,0.0,0.0,-0.299596375730633,0.01084285711047864
0.268,0.0,0.0,-0.29958879808500544,0.010941792881974798
0.269,0.0,0.0,-0.2995811131194368,0.011040970215385443
0.27,0.0,0.0,-0.2995733198610171,0.011140383394215934
0.271,0.0,0.0,-0.29956541733452124,0.011240026660360372
0.272,0.0,0.0,-0.29955740456246555,0.011339894214357443
0.273,0.0,0.0,-0.2995492805651646,0.011439980215646788
0.274,0.0,0.0,-0.29954104436078893,0.011540278782825866
0.275,0.0,0.0,-0.2995326949654224,0.011640783993907371
0.276,0.0,0.0,-0.2995242313931205,0.011741489886577184
0.277,0.0,0.0,-0.2995156526559691,0.011842390458452897
0.278,0.0,0.0,-0.2995069577641431,0.01194347966734291
0.279,0.0,0.0,-0.299498145725966,0.012044751431506127
0.28,0.0,0.0,-0.29948921554796953,0.012146199629912249
0.281,0.0,0.0,-0.2994801662349538,0.012247818102502717
0.28200000000000003,0.0,0.0,-0.29947099679004796,0.012349600650452278
0.28300000000000003,0.0,0.0,-0.29946170621477075,0.012451541036431216
0.28400000000000003,0.0,0.0,-0.29945229350909214,0.012553632984868248
0.28500000000000003,0.0,0.0,-0.2994427576714948,0.012655870182214146
0.28600000000000003,0.0,0.0,-0.2994330976990362,0.012758246277206044
0.28700000000000003,0.0,0.0,-0.2994233125874109,0.012860754881132471
0.28800000000000003,0.0,0.0,-0.29941340133101346,0.012963389568099152
0.289,0.0,0.0,-0.29940336292300157,0.013066143875295562
0.29,0.0,0.0,-0.2993931963553595,0.01316901130326228
0.291,0.0,0.0,-0.2993829006189619,0.013271985316159116
0.292,0.0,0.0,-0.2993724747036382,0.013375059342034097
0.293,0.0,0.0,-0.29936191759823716,0.013478226773093271
0.294,0.0,0.0,-0.2993512282906916,0.013581480965971384
0.295,0.0,0.0,-0.299340405768084,0.013684815242003438
0.296,0.0,0.0,-0.29932944901671193,0.013788222887497155
