feature_set,noise_regime,outcome,trial_count,median_abs_relative_error,p95_abs_relative_error,relative_rmse,relative_bias,bound_kind,bound_coverage,median_bound_ratio
time_domain,low,force_to_displacement_gain_m_per_n,240,0.14811992831726248,0.34290309479569525,0.21490725866893312,-0.002514571254383611,upper,0.975,1.2676239920135757
time_domain,low,disturbance_limited_safe_force_n,240,0.1804079364517978,0.6204889947721581,0.33303943048137674,0.036728163442734156,lower,0.9,0.6812248606645089
time_domain,nominal,peak_displacement_m,240,0.12051840382139108,0.45107617412807793,0.22830399477666186,0.028551716133822392,upper,0.9833333333333333,1.285439401513127
time_domain,nominal,peak_velocity_m_per_s,240,0.12271342082895398,0.3499716051600741,0.18047580659030577,0.005980510201134063,upper,0.9791666666666666,1.2200271186064342
time_domain,nominal,dominant_response_frequency_hz,240,0.14979269445112964,3.4760223574267,2.6581699690067726,0.5155347945993756,upper,0.9666666666666667,1.418333287966695
time_domain,nominal,late_hold_oscillation_rms_m,240,0.3437531337274041,5.567660255552635,7.416525595504272,1.0251829071986653,upper,0.9583333333333334,11.668566422069716
time_domain,nominal,hold_settling_time_s,240,0.6864143249498368,317531.1941439408,133578.65383284746,56575.92770891931,upper,0.95,633828.5155099898
time_domain,nominal,force_to_displacement_gain_m_per_n,240,0.12051840382146069,0.451076174127978,0.2283039947766642,0.028551716133828026,upper,0.9833333333333333,1.2854394015130852
time_domain,nominal,disturbance_limited_safe_force_n,240,0.17227375001684936,0.6263058356694855,0.30802092035880424,0.02902326396252123,lower,0.925,0.6825763258683941
time_domain,high,peak_displacement_m,240,0.11881524602057814,0.5481366228054543,0.2692328547396768,0.04241535416998291,upper,0.9791666666666666,1.281089131212466
time_domain,high,peak_velocity_m_per_s,240,0.13112453993070033,0.4114194301945452,0.1945454568226688,0.023652715019274743,upper,0.9791666666666666,1.2294118830009226
time_domain,high,dominant_response_frequency_hz,240,0.15525535331907553,5.002950051338336,3.251736007490417,0.6881889487574423,upper,0.9666666666666667,1.3850002357996425
time_domain,high,late_hold_oscillation_rms_m,240,0.5567397141566026,4.149818537360635,2.770133686479199,0.42962139987191994,upper,0.9375,6.753393091958667
time_domain,high,hold_settling_time_s,240,0.7847592205683577,293007.8566756571,123900.5068517217,53523.51570607619,upper,0.9375,603578.9866306768
time_domain,high,force_to_displacement_gain_m_per_n,240,0.11881524602065047,0.5481366228056846,0.26923285473964836,0.042415354169974585,upper,0.9791666666666666,1.2810891312124633
time_domain,high,disturbance_limited_safe_force_n,240,0.19767182924755847,0.5445068701735113,0.32041479656974364,0.04018049558662485,lower,0.9166666666666666,0.6870831270430685
combined_task,low,peak_displacement_m,240,0.0572162777948088,0.17785507719855415,0.0859630967298356,-0.008987518049923697,upper,0.9458333333333333,1.13144492250278
combined_task,low,peak_velocity_m_per_s,240,0.040475150745862574,0.15848532650452413,0.07425131417909496,-0.001027440199609823,upper,0.9458333333333333,1.1079651620342572
combined_task,low,dominant_response_frequency_hz,240,0.1371933013700425,2.4933766000376365,1.7700659225978488,0.3411843605235487,upper,0.9541666666666667,1.4924054650495293
combined_task,low,late_hold_oscillation_rms_m,240,0.1050263364285143,3.691089936891994,2.8012783216944013,0.5009473220524463,upper,0.9666666666666667,1.794244183843548
combined_task,low,hold_settling_time_s,240,0.33029689125199146,243563.09939504633,100692.02104620905,35508.10441886659,upper,0.9541666666666667,228395.6521577777
combined_task,low,force_to_displacement_gain_m_per_n,240,0.0572162777948073,0.17785507719859683,0.08596309672983699,-0.008987518049924372,upper,0.9458333333333333,1.1314449225028085
combined_task,low,disturbance_limited_safe_force_n,240,0.15388151613781437,0.5236734755768596,0.23939813150883957,0.0422502983579843,lower,0.9416666666666667,0.7244498212866575
combined_task,nominal,peak_displacement_m,240,0.048355634768966066,0.1722930165645058,0.081296727058395,-0.0025505999627053666,upper,0.9625,1.1391254795989796
combined_task,nominal,peak_velocity_m_per_s,240,0.03885380518604091,0.14845736022043515,0.07244430323921489,-0.0020208831940122184,upper,0.95,1.1100378532102977
combined_task,nominal,dominant_response_frequency_hz,240,0.12712115841930588,2.192812719427411,2.6185247752442367,0.47566593685252606,upper,0.95,1.4626150657714279
combined_task,nominal,late_hold_oscillation_rms_m,240,0.11250551275838952,2.6399241141775374,1.9571294300602713,0.3072774851456735,upper,0.9666666666666667,2.024835533669758
combined_task,nominal,hold_settling_time_s,240,0.35107143647764366,273621.53953456075,101967.66257930406,37502.5923773481,upper,0.95,262191.40790714754
combined_task,nominal,force_to_displacement_gain_m_per_n,240,0.048355634768982615,0.17229301656447327,0.08129672705839716,-0.00255059996269746,upper,0.9625,1.1391254795989987
combined_task,nominal,disturbance_limited_safe_force_n,240,0.1470302873202304,0.4799957904444835,0.22443515956785653,0.030790631495202073,lower,0.9375,0.71970987540342
combined_task,high,peak_displacement_m,240,0.0538930251922516,0.18911180480379564,0.09137687993436426,0.00673423180092324,upper,0.9583333333333334,1.1507678571709652
combined_task,high,peak_velocity_m_per_s,240,0.048002654959768756,0.15053181135016722,0.07710698436002053,0.006997654423466998,upper,0.95,1.1216960440271309
combined_task,high,dominant_response_frequency_hz,240,0.13458270474660017,2.9221529086704443,2.695648681283537,0.5492377615819736,upper,0.9375,1.4736827376779527
combined_task,high,late_hold_oscillation_rms_m,240,0.14265826393707037,1.9279333865664439,1.1873435640378698,0.11179969976908294,upper,0.9625,1.6016331896262657
combined_task,high,hold_settling_time_s,240,0.3835630971533607,287759.2213602017,108482.48258563402,44333.77439318009,upper,0.9541666666666667,218212.01207552553
combined_task,high,force_to_displacement_gain_m_per_n,240,0.05389302519222659,0.18911180480367792,0.09137687993433638,0.006734231800916734,upper,0.9583333333333334,1.1507678571708997
combined_task,high,disturbance_limited_safe_force_n,240,0.1411930351359195,0.47211595793197625,0.23330971878344497,0.028346719974754776,lower,0.95,0.708314816265045
