target,pipeline,timing_profile,trial_count,failure_fraction,stiffness_relative_bias,stiffness_median_abs_relative_error,stiffness_p95_abs_relative_error,damping_relative_bias,damping_median_abs_relative_error,damping_p95_abs_relative_error,effective_mass_relative_bias,effective_mass_median_abs_relative_error,effective_mass_p95_abs_relative_error
low_effective_mass,causal_polynomial,exp_0002_nominal_plus_mismatch,20,0.0,-0.14172307586845972,0.14240934094658012,0.19461892294981,-1.5586472611793438,1.5589400605705541,1.6721020607635293,0.11591221675387482,0.12035990824239867,0.2265972041159487
low_effective_mass,alpha_beta_gamma,exp_0002_nominal_plus_mismatch,20,0.0,-0.07595788546236709,0.07558985778963186,0.10384124086683467,-1.85365035809088,1.8539240597179112,1.8656272710953121,0.10734516015140723,0.11099823471370923,0.17433363214436953
low_effective_mass,centered_savitzky_golay,exp_0002_nominal_plus_mismatch,20,0.0,0.018300939127940404,0.018376143626816298,0.025492757893117366,-0.12075090824171815,0.11822686420742007,0.19764951134302086,0.354682196978522,0.357694289465563,0.7232563209358921
low_effective_mass,backward_difference,corrected_common_delay,20,0.0,-0.28327943054252197,0.2835928193010766,0.29172254055765473,-0.1979247236743807,0.19758884172661118,0.20395270125934115,-0.9100170854413872,0.9116370111636587,0.93731223268874
low_effective_mass,causal_low_pass,corrected_common_delay,20,0.0,-0.04688645529786474,0.046357523583920965,0.05433929555764835,-0.21245584320931615,0.21339992150458506,0.2185752283020454,-0.11498264446561017,0.11380388209334319,0.14200594485314283
low_effective_mass,causal_polynomial,corrected_common_delay,20,0.0,-0.16994634046248364,0.17053071168082232,0.1742839532575585,-1.6127519625198752,1.611788189335087,1.623321254405398,0.17434906746461393,0.1740125056934158,0.18687213500053396
low_effective_mass,alpha_beta_gamma,corrected_common_delay,20,0.0,-0.09018439423544462,0.09033819336523313,0.09375342333188376,-1.8601930423119335,1.8599048492432826,1.866724709764597,0.14491070615081897,0.14491014986981104,0.15369634261233361
low_effective_mass,centered_savitzky_golay,corrected_common_delay,20,0.0,0.021401257923800952,0.021435344173694186,0.025372286110834228,-0.06420118382721819,0.06375674025494052,0.06982230110217409,0.5347529931569203,0.5359403869601794,0.5491282037729411
high_effective_mass,backward_difference,synchronized,20,0.0,-0.7389717739840984,0.739120684744387,0.7414539969553693,-0.3150825438924601,0.3172833429093285,0.37439829971617367,-1.0013662802647256,1.0013447188969273,1.0015130867867472
high_effective_mass,causal_low_pass,synchronized,20,0.0,-0.7246700304645344,0.724903406047732,0.7279272339685553,-0.06224598659381671,0.05401801699828832,0.10567918286747922,-0.9890332441582391,0.9890351038061982,0.9906886959160713
high_effective_mass,causal_polynomial,synchronized,20,0.0,-0.5557832647300085,0.5531985792795896,0.5962038435973359,-0.9733039240075219,0.9716884084155237,1.0391337680797523,-0.7746923459168468,0.7715884758654246,0.8225867822902241
high_effective_mass,alpha_beta_gamma,synchronized,20,0.0,-0.38719187177134357,0.38602590597938324,0.42416047921527683,-1.2699190606243231,1.2766159250804587,1.297817078369968,-0.5413596782930805,0.5424999207477513,0.5875946885552227
high_effective_mass,centered_savitzky_golay,synchronized,20,0.0,0.017139199323393098,0.017329922079865032,0.030498193871090963,-0.007379481022557172,0.030892723467429127,0.07209898734601013,0.040253119651938646,0.03970699373810316,0.05779331346169544
